zip,city,state_name,active
98686,Service Area,US,yes
17370,Service Area,US,yes
34234,Service Area,US,yes
01001,Service Area,US,yes
01002,Service Area,US,yes
01003,Service Area,US,yes
01005,Service Area,US,yes
01007,Service Area,US,yes
01008,Service Area,US,yes
01009,Service Area,US,yes
01010,Service Area,US,yes
01011,Service Area,US,yes
01012,Service Area,US,yes
01013,Service Area,US,yes
01020,Service Area,US,yes
01022,Service Area,US,yes
01026,Service Area,US,yes
01027,Service Area,US,yes
01028,Service Area,US,yes
01029,Service Area,US,yes
01030,Service Area,US,yes
01031,Service Area,US,yes
01032,Service Area,US,yes
01033,Service Area,US,yes
01034,Service Area,US,yes
01035,Service Area,US,yes
01036,Service Area,US,yes
01037,Service Area,US,yes
01038,Service Area,US,yes
01039,Service Area,US,yes
01040,Service Area,US,yes
01050,Service Area,US,yes
01053,Service Area,US,yes
01054,Service Area,US,yes
01056,Service Area,US,yes
01057,Service Area,US,yes
01060,Service Area,US,yes
01062,Service Area,US,yes
01063,Service Area,US,yes
01066,Service Area,US,yes
01068,Service Area,US,yes
01069,Service Area,US,yes
01070,Service Area,US,yes
01071,Service Area,US,yes
01072,Service Area,US,yes
01073,Service Area,US,yes
01074,Service Area,US,yes
01075,Service Area,US,yes
01077,Service Area,US,yes
01079,Service Area,US,yes
01080,Service Area,US,yes
01081,Service Area,US,yes
01082,Service Area,US,yes
01083,Service Area,US,yes
01084,Service Area,US,yes
01085,Service Area,US,yes
01086,Service Area,US,yes
01088,Service Area,US,yes
01089,Service Area,US,yes
01092,Service Area,US,yes
01093,Service Area,US,yes
01094,Service Area,US,yes
01095,Service Area,US,yes
01096,Service Area,US,yes
01097,Service Area,US,yes
01098,Service Area,US,yes
01103,Service Area,US,yes
01104,Service Area,US,yes
01105,Service Area,US,yes
01106,Service Area,US,yes
01107,Service Area,US,yes
01108,Service Area,US,yes
01109,Service Area,US,yes
01118,Service Area,US,yes
01119,Service Area,US,yes
01128,Service Area,US,yes
01129,Service Area,US,yes
01151,Service Area,US,yes
01199,Service Area,US,yes
01201,Service Area,US,yes
01220,Service Area,US,yes
01222,Service Area,US,yes
01223,Service Area,US,yes
01224,Service Area,US,yes
01225,Service Area,US,yes
01226,Service Area,US,yes
01229,Service Area,US,yes
01230,Service Area,US,yes
01235,Service Area,US,yes
01236,Service Area,US,yes
01237,Service Area,US,yes
01238,Service Area,US,yes
01240,Service Area,US,yes
01242,Service Area,US,yes
01243,Service Area,US,yes
01244,Service Area,US,yes
01245,Service Area,US,yes
01247,Service Area,US,yes
01253,Service Area,US,yes
01254,Service Area,US,yes
01255,Service Area,US,yes
01256,Service Area,US,yes
01257,Service Area,US,yes
01258,Service Area,US,yes
01259,Service Area,US,yes
01260,Service Area,US,yes
01262,Service Area,US,yes
01264,Service Area,US,yes
01266,Service Area,US,yes
01267,Service Area,US,yes
01270,Service Area,US,yes
01301,Service Area,US,yes
01330,Service Area,US,yes
01331,Service Area,US,yes
01337,Service Area,US,yes
01338,Service Area,US,yes
01339,Service Area,US,yes
01340,Service Area,US,yes
01341,Service Area,US,yes
01342,Service Area,US,yes
01343,Service Area,US,yes
01344,Service Area,US,yes
01346,Service Area,US,yes
01347,Service Area,US,yes
01349,Service Area,US,yes
01350,Service Area,US,yes
01351,Service Area,US,yes
01354,Service Area,US,yes
01355,Service Area,US,yes
01360,Service Area,US,yes
01364,Service Area,US,yes
01366,Service Area,US,yes
01367,Service Area,US,yes
01368,Service Area,US,yes
01370,Service Area,US,yes
01373,Service Area,US,yes
01375,Service Area,US,yes
01376,Service Area,US,yes
01378,Service Area,US,yes
01379,Service Area,US,yes
01420,Service Area,US,yes
01430,Service Area,US,yes
01431,Service Area,US,yes
01432,Service Area,US,yes
01434,Service Area,US,yes
01436,Service Area,US,yes
01438,Service Area,US,yes
01440,Service Area,US,yes
01450,Service Area,US,yes
01451,Service Area,US,yes
01452,Service Area,US,yes
01453,Service Area,US,yes
01460,Service Area,US,yes
01462,Service Area,US,yes
01463,Service Area,US,yes
01464,Service Area,US,yes
01467,Service Area,US,yes
01468,Service Area,US,yes
01469,Service Area,US,yes
01473,Service Area,US,yes
01474,Service Area,US,yes
01475,Service Area,US,yes
01501,Service Area,US,yes
01503,Service Area,US,yes
01504,Service Area,US,yes
01505,Service Area,US,yes
01506,Service Area,US,yes
01507,Service Area,US,yes
01510,Service Area,US,yes
01515,Service Area,US,yes
01516,Service Area,US,yes
01518,Service Area,US,yes
01519,Service Area,US,yes
01520,Service Area,US,yes
01521,Service Area,US,yes
01522,Service Area,US,yes
01523,Service Area,US,yes
01524,Service Area,US,yes
01525,Service Area,US,yes
01527,Service Area,US,yes
01529,Service Area,US,yes
01531,Service Area,US,yes
01532,Service Area,US,yes
01534,Service Area,US,yes
01535,Service Area,US,yes
01536,Service Area,US,yes
01537,Service Area,US,yes
01540,Service Area,US,yes
01541,Service Area,US,yes
01542,Service Area,US,yes
01543,Service Area,US,yes
01545,Service Area,US,yes
01550,Service Area,US,yes
01560,Service Area,US,yes
01561,Service Area,US,yes
01562,Service Area,US,yes
01564,Service Area,US,yes
01566,Service Area,US,yes
01568,Service Area,US,yes
01569,Service Area,US,yes
01570,Service Area,US,yes
01571,Service Area,US,yes
01581,Service Area,US,yes
01583,Service Area,US,yes
01585,Service Area,US,yes
01588,Service Area,US,yes
01590,Service Area,US,yes
01602,Service Area,US,yes
01603,Service Area,US,yes
01604,Service Area,US,yes
01605,Service Area,US,yes
01606,Service Area,US,yes
01607,Service Area,US,yes
01608,Service Area,US,yes
01609,Service Area,US,yes
01610,Service Area,US,yes
01611,Service Area,US,yes
01612,Service Area,US,yes
01701,Service Area,US,yes
01702,Service Area,US,yes
01718,Service Area,US,yes
01719,Service Area,US,yes
01720,Service Area,US,yes
01721,Service Area,US,yes
01730,Service Area,US,yes
01731,Service Area,US,yes
01740,Service Area,US,yes
01741,Service Area,US,yes
01742,Service Area,US,yes
01745,Service Area,US,yes
01746,Service Area,US,yes
01747,Service Area,US,yes
01748,Service Area,US,yes
01749,Service Area,US,yes
01752,Service Area,US,yes
01754,Service Area,US,yes
01756,Service Area,US,yes
01757,Service Area,US,yes
01760,Service Area,US,yes
01770,Service Area,US,yes
01772,Service Area,US,yes
01773,Service Area,US,yes
01775,Service Area,US,yes
01776,Service Area,US,yes
01778,Service Area,US,yes
01801,Service Area,US,yes
01803,Service Area,US,yes
01810,Service Area,US,yes
01821,Service Area,US,yes
01824,Service Area,US,yes
01826,Service Area,US,yes
01827,Service Area,US,yes
01830,Service Area,US,yes
01832,Service Area,US,yes
01833,Service Area,US,yes
01834,Service Area,US,yes
01835,Service Area,US,yes
01840,Service Area,US,yes
01841,Service Area,US,yes
01843,Service Area,US,yes
01844,Service Area,US,yes
01845,Service Area,US,yes
01850,Service Area,US,yes
01851,Service Area,US,yes
01852,Service Area,US,yes
01854,Service Area,US,yes
01860,Service Area,US,yes
01862,Service Area,US,yes
01863,Service Area,US,yes
01864,Service Area,US,yes
01867,Service Area,US,yes
01876,Service Area,US,yes
01879,Service Area,US,yes
01880,Service Area,US,yes
01886,Service Area,US,yes
01887,Service Area,US,yes
01890,Service Area,US,yes
01901,Service Area,US,yes
01902,Service Area,US,yes
01904,Service Area,US,yes
01905,Service Area,US,yes
